Gene.ID	Gene.Symbol	Protein	Gene.description	EarlyOnset_Alzheimer.s.vs..EarlyOnset_Non_demented.foldChange	EarlyOnset_Alzheimer.s.vs..EarlyOnset_Non_demented.pValue	LateOnset_Alzheimer.s.vs..LateOnset_Non_demented.foldChange	LateOnset_Alzheimer.s.vs..LateOnset_Non_demented.pValue
ENSG00000013583	HEBP1	sp|Q9NRV9|HEBP1_HUMAN	heme binding protein 1	-0.169769802309482	0.536936296079227	-0.0924622414919828	0.599307791268274
ENSG00000014123	UFL1	sp|O94874|UFL1_HUMAN	UFM1 specific ligase 1	-0.254734747728295	0.503317092150812	-0.0755669369146187	0.768619131617333
ENSG00000014216	CAPN1	sp|P07384|CAN1_HUMAN	calpain 1	0.108466792401918	0.365205735027423	0.028583664693509	0.71624029581584
ENSG00000014641	MDH1	sp|P40925|MDHC_HUMAN	malate dehydrogenase 1	-0.0246118194435212	0.816231256297631	0.0466871138181563	0.466263412349696
ENSG00000014824	SLC30A9	sp|Q6PML9|ZNT9_HUMAN	solute carrier family 30 member 9	-0.0480958388351027	0.923716573345958	-0.482750806040691	0.100297443979
ENSG00000014919	COX15	sp|Q7KZN9|COX15_HUMAN	cytochrome c oxidase assembly homolog COX15	0.0668123037131825	0.660049783661063	0.0507093275718564	0.61503693855856
ENSG00000015475	BID	sp|P55957|BID_HUMAN	BH3 interacting domain death agonist	-0.209187377068595	0.0961502389567523	0.156992828113121	0.0551643866422681
ENSG00000016391	CHDH	sp|Q8NE62|CHDH_HUMAN	choline dehydrogenase	0.152444475852517	0.48003907406956	-0.150326313409979	0.292647464771293
ENSG00000017797	RALBP1	sp|Q15311|RBP1_HUMAN	ralA binding protein 1	-0.603610094251566	0.517537926553608	-0.0136053553809799	0.983380291879066
ENSG00000018189	RUFY3	sp|Q7L099|RUFY3_HUMAN	RUN and FYVE domain containing 3	-0.189617104202464	0.05547480628802	-0.0219495296429197	0.673317610772518
ENSG00000018236	CNTN1	sp|Q12860|CNTN1_HUMAN	contactin 1	-0.0356559473707113	0.689288894650977	-0.282387243591631	0.00351413923323629
ENSG00000018625	ATP1A2	sp|P50993|AT1A2_HUMAN	ATPase Na+/K+ transporting subunit alpha 2	-0.0443582251791999	0.795216513117731	0.128194861967614	0.246456031320862
ENSG00000019144	PHLDB1	sp|Q86UU1|PHLB1_HUMAN	pleckstrin homology like domain family B member 1	-0.842178385662008	0.520699518365828	0.311035628371036	0.709792074705491
ENSG00000020129	NCDN	sp|Q9UBB6|NCDN_HUMAN	neurochondrin	0.0798280331586909	0.738457364070577	-0.0344002400246571	0.828019297562111
ENSG00000021300	PLEKHB1	sp|Q9UF11|PKHB1_HUMAN	pleckstrin homology domain containing B1	0.0654529464331369	0.855123543978939	0.317646272671152	0.197439183138773
ENSG00000021355	SERPINB1	sp|P30740|ILEU_HUMAN	serpin family B member 1	-0.300803879668808	0.194249820124178	0.0982570040792981	0.495487123578656
ENSG00000021574	SPAST	sp|Q9UBP0|SPAST_HUMAN	spastin	0.126198210123592	0.45458482321397	-0.502666332434116	0.0203317906935341
ENSG00000022355	GABRA1	sp|P14867|GBRA1_HUMAN	gamma-aminobutyric acid type A receptor subunit alpha1	-0.0158875597285591	0.930996796365325	-0.416064830597108	0.00543780923877679
ENSG00000023287	RB1CC1	sp|Q8TDY2|RBCC1_HUMAN	RB1 inducible coiled-coil 1	-0.32568256985463	0.509766874145753	-0.149319237832659	0.628664156126253
ENSG00000023318	ERP44	sp|Q9BS26|ERP44_HUMAN	endoplasmic reticulum protein 44	0.0277079685462904	0.761792660708973	0.0527196359524235	0.369161934962603
ENSG00000023697	DERA	sp|Q9Y315|DEOC_HUMAN	deoxyribose-phosphate aldolase	0.19704600773264	0.302361933835512	-0.0723917520364831	0.56076749703895
ENSG00000023734	STRAP	sp|Q9Y3F4|STRAP_HUMAN	serine/threonine kinase receptor associated protein	-0.174098251527205	0.71121642809385	0.254912824411498	0.417563007919572
ENSG00000024422	EHD2	sp|Q9NZN4|EHD2_HUMAN	EH domain containing 2	0.0770699896076366	0.29832097259775	-0.00282563139682659	0.958044178815331
ENSG00000025772	TOMM34	sp|Q15785|TOM34_HUMAN	translocase of outer mitochondrial membrane 34	-0.0312372066549553	0.966704659048289	-0.0276219502734831	0.947655207932963
ENSG00000026025	VIM	sp|P08670|VIME_HUMAN	vimentin	-0.103853206731434	0.655266102377375	0.814212173552221	0.00280570875140621
ENSG00000026508	CD44	sp|P16070|CD44_HUMAN	CD44 molecule (Indian blood group)	-0.109104335511042	0.699953321948142	0.4237002303726	0.0475872494789696
ENSG00000028528	SNX1	sp|Q13596|SNX1_HUMAN	sorting nexin 1	0.00565785097262269	0.966704659048289	0.139784558526972	0.0616159802088097
ENSG00000029534	ANK1	sp|P16157|ANK1_HUMAN	ankyrin 1	-0.0358525342380863	0.736367412540447	-0.0729158691765145	0.29421930183227
ENSG00000029725	RABEP1	sp|Q15276|RABE1_HUMAN	rabaptin, RAB GTPase binding effector protein 1	0.0808951453958666	0.601676768006483	-0.27680550534942	0.0308712289060091
ENSG00000031698	SARS1	sp|P49591|SYSC_HUMAN	seryl-tRNA synthetase 1	-0.0172116142314256	0.858366246211603	0.0713669451921935	0.222030816780027
ENSG00000032444	PNPLA6	sp|Q8IY17|PLPL6_HUMAN	patatin like phospholipase domain containing 6	-0.186285322288406	0.760639515642326	-0.168991464915666	0.677655082341742
ENSG00000033178	UBA6	sp|A0AVT1|UBA6_HUMAN	ubiquitin like modifier activating enzyme 6	-0.122965038318182	0.613276391055159	0.0925305772454574	0.569448864133246
ENSG00000033627	ATP6V0A1	sp|Q93050|VPP1_HUMAN	ATPase H+ transporting V0 subunit a1	-0.0341086975651876	0.790559538502702	-0.26114067955964	0.0171313138436839
ENSG00000034713	GABARAPL2	sp|P60520|GBRL2_HUMAN	GABA type A receptor associated protein like 2	0.121013469302457	0.339724369763761	0.466816819534147	0.00218583291857737
ENSG00000035403	VCL	sp|P18206|VINC_HUMAN	vinculin	0.0126470963042517	0.926374484950469	0.0221793721610931	0.763527775865908
ENSG00000035687	ADSS2	sp|P30520|PURA2_HUMAN	adenylosuccinate synthase 2	-0.00422024217044265	0.981276719660312	0.362270486554034	0.00923866156332835
ENSG00000036257	CUL3	sp|Q13618|CUL3_HUMAN	cullin 3	-0.495634049307381	0.410725042635358	0.0541948523834203	0.897377428625691
ENSG00000036530	CYP46A1	sp|Q9Y6A2|CP46A_HUMAN	cytochrome P450 family 46 subfamily A member 1	-0.126553689942721	0.833455934787539	0.0207681129252392	0.958044178815331
ENSG00000038274	MAT2B	sp|Q9NZL9|MAT2B_HUMAN	methionine adenosyltransferase 2B	-0.00295786386442862	0.983187471340752	-0.261965336015104	0.0126647511570142
ENSG00000038382	TRIO	sp|O75962|TRIO_HUMAN	trio Rho guanine nucleotide exchange factor	-0.106951767975718	0.646061982184523	0.0656275887802475	0.679281730206147
ENSG00000038427	VCAN	sp|P13611|CSPG2_HUMAN	versican	0.0359825557918943	0.6927596475729	0.155228417148611	0.0312886443528425
ENSG00000039319	ZFYVE16	sp|Q7Z3T8|ZFY16_HUMAN	zinc finger FYVE-type containing 16	-0.713281497779325	0.166291901715938	0.0896832443928587	0.775010941176504
ENSG00000040341	STAU2	sp|Q9NUL3|STAU2_HUMAN	staufen double-stranded RNA binding protein 2	-0.0169871404029417	0.966704659048289	-0.0882680043098022	0.690317623062203
ENSG00000040731	CDH10	sp|Q9Y6N8|CAD10_HUMAN	cadherin 10	0.169127032131269	0.574926408965169	-0.601042635321138	0.021146422906198
ENSG00000040933	INPP4A	sp|Q96PE3|INP4A_HUMAN	inositol polyphosphate-4-phosphatase type I A	-0.053526896881228	0.654947662464176	-0.0622204358073238	0.430451568496532
ENSG00000041353	RAB27B	sp|O00194|RB27B_HUMAN	RAB27B, member RAS oncogene family	-0.263841989961779	0.454751565411842	0.562626249625943	0.0726205810676664
ENSG00000041357	PSMA4	sp|P25789|PSA4_HUMAN	proteasome 20S subunit alpha 4	-0.0968106402079343	0.634083731449818	0.41968142210301	0.0181656317365545
ENSG00000041982	TNC	sp|P24821|TENA_HUMAN	tenascin C	-0.206069159277258	0.112333122269777	0.429915572262317	0.00217228604473287
ENSG00000042493	CAPG	sp|P40121|CAPG_HUMAN	capping actin protein, gelsolin like	0.0981476741632168	0.542161373717265	0.183488493839496	0.149109404827154
ENSG00000042753	AP2S1	sp|P53680|AP2S1_HUMAN	adaptor related protein complex 2 subunit sigma 1	-0.0547951019924871	0.86429650565286	-0.209654254143752	0.269307105483142
ENSG00000044574	HSPA5	sp|P11021|BIP_HUMAN	heat shock protein family A (Hsp70) member 5	-0.10770043952702	0.503317092150812	0.0310295368919853	0.774372973245794
ENSG00000047056	WDR37	sp|Q9Y2I8|WDR37_HUMAN	WD repeat domain 37	0.00834084710908674	0.971686088933428	0.0843171202995698	0.516553302088388
ENSG00000047249	ATP6V1H	sp|Q9UI12|VATH_HUMAN	ATPase H+ transporting V1 subunit H	-0.00123850974164938	0.994881461296502	-0.310687509885488	0.0111153736503866
ENSG00000047410	TPR	sp|P12270|TPR_HUMAN	translocated promoter region, nuclear basket protein	0.0355138138677542	0.835548266367993	0.0372108347021817	0.721693284419442
ENSG00000047457	CP	sp|P00450|CERU_HUMAN	ceruloplasmin	-0.0392784241192406	0.830420982583828	-0.143346546671084	0.252284828749676
ENSG00000047849	MAP4	sp|P27816|MAP4_HUMAN	microtubule associated protein 4	-0.00140976929585197	0.99598426977855	0.331251325924503	0.0415247892607209
ENSG00000048392	RRM2B	sp|Q7LG56|RIR2B_HUMAN	ribonucleotide reductase regulatory TP53 inducible subunit M2B	0.0912262265653752	0.395025667946935	-0.112687969123686	0.134182909249723
ENSG00000048707	VPS13D	sp|Q5THJ4|VP13D_HUMAN	vacuolar protein sorting 13 homolog D	0.0192215403586502	0.900008317375949	-0.176086608009772	0.112064058498207
ENSG00000049860	HEXB	sp|P07686|HEXB_HUMAN	hexosaminidase subunit beta	-0.298804321885512	0.192783588695879	0.0135940859975642	0.902082909338936
ENSG00000050165	DKK3	sp|Q9UBP4|DKK3_HUMAN	dickkopf WNT signaling pathway inhibitor 3	-0.112714896163778	0.406682830377328	0.214157883302057	0.0431494264012194
ENSG00000050405	LIMA1	sp|Q9UHB6|LIMA1_HUMAN	LIM domain and actin binding 1	-0.614599419787929	0.240137516805328	0.275310090748576	0.326080559004909
ENSG00000051620	HEBP2	sp|Q9Y5Z4|HEBP2_HUMAN	heme binding protein 2	-0.298625095814735	0.0352576941214908	0.158516649179435	0.036952843061211
ENSG00000053371	AKR7A2	sp|O43488|ARK72_HUMAN	aldo-keto reductase family 7 member A2	0.101127420526261	0.603145972424857	-0.281975036697832	0.059159771696997
ENSG00000054116	TRAPPC3	sp|O43617|TPPC3_HUMAN	trafficking protein particle complex subunit 3	-0.172186049617324	0.289707304948091	-0.0528511800749717	0.617589443509615
ENSG00000054356	PTPRN	sp|Q16849|PTPRN_HUMAN	protein tyrosine phosphatase receptor type N	-0.661743035619319	0.0478948116866833	-0.472771619297662	0.0128325549655288
ENSG00000054793	ATP9A	sp|O75110|ATP9A_HUMAN	ATPase phospholipid transporting 9A (putative)	0.0266715083483504	0.913417498707947	-0.492456399889829	0.0385736474457772
ENSG00000054983	GALC	sp|P54803|GALC_HUMAN	galactosylceramidase	-0.319969902421562	0.0238749417620414	0.225777528503343	0.00852481608175217
ENSG00000055163	CYFIP2	sp|Q96F07|CYFP2_HUMAN	cytoplasmic FMR1 interacting protein 2	-0.0321274122875839	0.853782319697097	-0.0124967017257423	0.907154280039092
ENSG00000055332	EIF2AK2	sp|P19525|E2AK2_HUMAN	eukaryotic translation initiation factor 2 alpha kinase 2	-0.0829840313084299	0.528873280791634	0.196711653262286	0.0528636040826558
ENSG00000057608	GDI2	sp|P50395|GDIB_HUMAN	GDP dissociation inhibitor 2	0.109719648407539	0.415209660494478	-0.0560844025449825	0.529021947213622
ENSG00000057663	ATG5	sp|Q9H1Y0|ATG5_HUMAN	autophagy related 5	0.0394337521194607	0.780614027694434	-0.357247269367814	0.0312495147934748
ENSG00000057757	PITHD1	sp|Q9GZP4|PITH1_HUMAN	PITH domain containing 1	0.0324197859830733	0.885856002645754	-0.146263342778082	0.252724076566504
ENSG00000058272	PPP1R12A	sp|O14974|MYPT1_HUMAN	protein phosphatase 1 regulatory subunit 12A	-0.288449266809676	0.517537926553608	-0.740838993083488	0.0383105616044059
ENSG00000058404	CAMK2B	sp|Q13554|KCC2B_HUMAN	calcium/calmodulin dependent protein kinase II beta	-0.060490343893522	0.622206638556988	-0.0427270276668257	0.601042505501589
ENSG00000058668	ATP2B4	sp|P23634|AT2B4_HUMAN	ATPase plasma membrane Ca2+ transporting 4	0.19414175624272	0.157292224279313	0.0964254954674337	0.245747886114212
ENSG00000059573	ALDH18A1	sp|P54886|P5CS_HUMAN	aldehyde dehydrogenase 18 family member A1	-0.197526044679374	0.0502225822075106	-0.133369361876177	0.0291385698475039
ENSG00000059915	PSD	sp|A5PKW4|PSD1_HUMAN	pleckstrin and Sec7 domain containing	0.253477623465126	0.211864044175782	-0.344331767536536	0.0303739296880666
ENSG00000060971	ACAA1	sp|P09110|THIK_HUMAN	acetyl-CoA acyltransferase 1	-0.639310538670486	0.426853516438609	-0.120883225351825	0.804416142282052
ENSG00000060982	BCAT1	sp|P54687|BCAT1_HUMAN	branched chain amino acid transaminase 1	0.0465625894709992	0.860584897635357	-0.125416708270539	0.419534113982655
ENSG00000061676	NCKAP1	sp|Q9Y2A7|NCKP1_HUMAN	NCK associated protein 1	-0.0384143530206842	0.601676768006483	-0.077482322948318	0.140091715594606
ENSG00000061918	GUCY1B1	sp|Q02153|GCYB1_HUMAN	guanylate cyclase 1 soluble subunit beta 1	-0.0450148061621149	0.863851047346544	0.0735617292314193	0.632006168161475
ENSG00000061987	MON2	sp|Q7Z3U7|MON2_HUMAN	MON2 homolog, regulator of endosome-to-Golgi trafficking	0.0755110886902083	0.473265305639549	-0.286175055635991	0.0069310944654593
ENSG00000062485	CS	sp|O75390|CISY_HUMAN	citrate synthase	-0.0142555680032691	0.943397593267901	0.0639686830205382	0.542522152645889
ENSG00000062598	ELMO2	sp|Q96JJ3|ELMO2_HUMAN	engulfment and cell motility 2	-0.231439777321235	0.490127081700304	-0.0375258045189415	0.87124886850746
ENSG00000063177	RPL18	sp|Q07020|RL18_HUMAN	ribosomal protein L18	-0.0880934140539225	0.647912420570002	-0.224083992192431	0.106546004922161
ENSG00000063245	EPN1	sp|Q9Y6I3|EPN1_HUMAN	epsin 1	0.188952743439472	0.211864044175782	0.0170080330055385	0.873748263417896
ENSG00000064042	LIMCH1	sp|Q9UPQ0|LIMC1_HUMAN	LIM and calponin homology domains 1	-0.0366134226201945	0.858366246211603	-0.106848132443282	0.365430275382984
ENSG00000064607	SUGP2	sp|Q8IX01|SUGP2_HUMAN	SURP and G-patch domain containing 2	-0.233705790853643	0.165532312133229	-0.0123945220204007	0.907157937193904
ENSG00000064651	SLC12A2	sp|P55011|S12A2_HUMAN	solute carrier family 12 member 2	-0.0177930122861814	0.886085885986787	-0.0566144651566417	0.413527657751248
ENSG00000065000	AP3D1	sp|O14617|AP3D1_HUMAN	adaptor related protein complex 3 subunit delta 1	-0.262408952762695	0.289707304948091	-0.589354551391189	0.0103509960621019
ENSG00000065135	GNAI3	sp|P08754|GNAI3_HUMAN	G protein subunit alpha i3	0.130898662811555	0.426853516438609	0.146335002601264	0.205933607984482
ENSG00000065154	OAT	sp|P04181|OAT_HUMAN	ornithine aminotransferase	0.00913686484733726	0.925508289290355	-0.268825505825544	0.00303630864386409
ENSG00000065427	KARS1	sp|Q15046|SYK_HUMAN	lysyl-tRNA synthetase 1	0.092200821336867	0.735786623567649	0.061770717471165	0.731625666898688
ENSG00000065518	NDUFB4	sp|O95168|NDUB4_HUMAN	NADH:ubiquinone oxidoreductase subunit B4	-0.06651459767694	0.594925537551867	-0.718888877891428	0.000590720296735435
ENSG00000065534	MYLK	sp|Q15746|MYLK_HUMAN	myosin light chain kinase	-0.0592241845900906	0.705465767336931	-0.286699797364716	0.0264972712507585
ENSG00000065559	MAP2K4	sp|P45985|MP2K4_HUMAN	mitogen-activated protein kinase kinase 4	0.175904164908895	0.835548266367993	-0.195833261065578	0.706833155208562
ENSG00000065609	SNAP91	sp|O60641|AP180_HUMAN	synaptosome associated protein 91	-0.208850107667442	0.323717068960056	-0.484094737420347	0.0118326881461547
ENSG00000065613	SLK	sp|Q9H2G2|SLK_HUMAN	STE20 like kinase	-0.170521867709333	0.329308642769391	-0.151123437193573	0.198927394125314
ENSG00000065833	ME1	sp|P48163|MAOX_HUMAN	malic enzyme 1	-0.15743456248056	0.438609715244636	0.019050823512932	0.894556949124901
ENSG00000066027	PPP2R5A	sp|Q15172|2A5A_HUMAN	protein phosphatase 2 regulatory subunit B'alpha	-0.0537759074371316	0.763784727567795	-0.209433605169732	0.149109404827154
ENSG00000066032	CTNNA2	sp|P26232|CTNA2_HUMAN	catenin alpha 2	0.0455844231430665	0.601676768006483	0.187702589283099	0.0168660034779941
ENSG00000066044	ELAVL1	sp|Q15717|ELAV1_HUMAN	ELAV like RNA binding protein 1	-0.144286064774472	0.551459502406099	0.0893864446316472	0.582132339514716
ENSG00000066084	DIP2B	sp|Q9P265|DIP2B_HUMAN	disco interacting protein 2 homolog B	-0.471747207525089	0.106875451653623	-0.276923493844677	0.12525998044221
ENSG00000066248	NGEF	sp|Q8N5V2|NGEF_HUMAN	neuronal guanine nucleotide exchange factor	0.0851814368238806	0.749584360916323	-0.536049645992195	0.0189273755246166
ENSG00000066427	ATXN3	sp|P54252|ATX3_HUMAN	ataxin 3	-0.281728060706411	0.236615283993441	-0.520062613589122	0.0130697185020891
ENSG00000066557	LRRC40	sp|Q9H9A6|LRC40_HUMAN	leucine rich repeat containing 40	0.0963890157074043	0.500843293167497	-0.227557806477115	0.0417782957735092
ENSG00000066583	ISOC1	sp|Q96CN7|ISOC1_HUMAN	isochorismatase domain containing 1	-0.116182760363605	0.614337055625876	-0.454566376564448	0.0220723889961283
ENSG00000066739	ATG2B	sp|Q96BY7|ATG2B_HUMAN	autophagy related 2B	-0.0900392293497276	0.77815340191341	-0.417491960508523	0.0689605628883816
ENSG00000066926	FECH	sp|P22830|HEMH_HUMAN	ferrochelatase	-0.137313456011024	0.632122665543374	-0.17572370798041	0.350039728481206
ENSG00000067057	PFKP	sp|Q01813|PFKAP_HUMAN	phosphofructokinase, platelet	-0.0652939680633272	0.451361834847431	0.0803058323307628	0.180847686047372
ENSG00000067141	NEO1	sp|Q92859|NEO1_HUMAN	neogenin 1	0.0346120982460197	0.818750991293658	0.0120800584021715	0.900290330200576
ENSG00000067177	PHKA1	sp|P46020|KPB1_HUMAN	phosphorylase kinase regulatory subunit alpha 1	-0.229760642769842	0.680184602780708	-0.0303799836199849	0.937872185813322
ENSG00000067191	CACNB1	sp|Q02641|CACB1_HUMAN	calcium voltage-gated channel auxiliary subunit beta 1	0.111936370343898	0.810237177596685	-0.288302479242593	0.308167222296128
ENSG00000067225	PKM	sp|P14618|KPYM_HUMAN	pyruvate kinase M1/2	0.0638322667074149	0.350552759472157	0.147005624776438	0.0152392994078122
ENSG00000067369	TP53BP1	sp|Q12888|TP53B_HUMAN	tumor protein p53 binding protein 1	-0.245677662327761	0.793106839632923	-0.109145758552551	0.858248809285966
ENSG00000067560	RHOA	sp|P61586|RHOA_HUMAN	ras homolog family member A	0.0545990686320744	0.696286545047839	-0.506000685254792	0.00223511128064773
ENSG00000067704	IARS2	sp|Q9NSE4|SYIM_HUMAN	isoleucyl-tRNA synthetase 2, mitochondrial	0.0262820290975299	0.703651919105464	-0.0358431711926486	0.427358407149427
ENSG00000067715	SYT1	sp|P21579|SYT1_HUMAN	synaptotagmin 1	0.0329144412084001	0.762731523123555	-0.403112359894507	0.00217228604473287
