Gene.ID	Gene.Symbol	X1.AD_A	X2.AD_A	X3.AD_A	X4.AD_A	X1.AD_B	X2.AD_B	X3.AD_B	X4.AD_B	X1.AD_C	X2.AD_C	X3.AD_C	X4.AD_C
ENSG00000007402	CACNA2D2	53037	2406.6	59740	68191	105090	5132.3	112600	136630	20828	1003.5	24728	31247
ENSG00000007923	DNAJC11	84424	4343.5	101540	111310	23447	1059.3	30486	32403	11940	626.25	14799	17366
ENSG00000008056	SYN1	1165000	62622	1362700	1819500	625690	33447	721040	981820	449610	23429	539820	733730
ENSG00000008256	CYTH3	30594	1266.3	28093	38855	20944	989.65	19450	24933	17260	757.11	19005	21639
ENSG00000008988	RPS20	127830	7371.3	167340	210790	53083	2986.6	59493	86606	32404	1515	33482	49862
ENSG00000009307	CSDE1	212860	10846	249220	269200	226320	11594	256990	284170	109760	5359.8	122200	134120
ENSG00000009844	VTA1	271650	13761	291840	420810	164510	7636.2	176050	248470	100430	4418.6	110360	146420
ENSG00000010017	RANBP9	NA	NA	NA	NA	71550	3773.9	65462	103170	52239	2399	46320	78077
ENSG00000010256	UQCRC1	337800	18186	400390	400770	448980	22134	569730	541120	189670	9450.9	238020	230850
ENSG00000010278	CD9	501510	26314	505110	1099300	376010	19635	376210	764360	260400	13072	243670	551260
ENSG00000011021	CLCN6	82883	3857.1	99385	94078	25015	1132.6	32544	32225	14899	506.65	19316	19304
ENSG00000011295	TTC19	NA	NA	NA	NA	34604	1764.6	40736	33177	18679	908.79	22937	20543
ENSG00000011347	SYT7	105620	5511.3	191640	235800	62988	3291.6	81836	95101	39436	2410.9	76521	92430
ENSG00000011376	LARS2	220030	11098	241430	271200	162340	8292.1	173880	185340	95098	4215	98225	111550
ENSG00000011426	ANLN	173440	9240	178060	534800	122290	5997.2	128160	350150	103220	5058.6	99689	312560
ENSG00000011454	RABGAP1	55329	3033	49692	77761	22012	1049.3	19073	29495	NA	NA	NA	NA
ENSG00000011485	PPP5C	48256	1938.5	50595	75844	43054	1887	42838	67041	26889	1056.4	27748	40853
ENSG00000011677	GABRA3	14207	844.79	15353	19345	NA	NA	NA	NA	4749.5	135.65	5266	5867.4
ENSG00000012822	CALCOCO1	230030	12750	290370	249310	2064	NA	2492.4	2497.8	18226	720.89	24593	21082
ENSG00000013016	EHD3	1270900	63408	1469700	1689200	635780	28994	736980	814860	539390	26903	633340	711740
ENSG00000013297	CLDN11	NA	NA	NA	NA	7248.7	361.67	6182	13453	20410	721.77	20707	29337
ENSG00000013364	MVP	599310	28754	557550	794190	257100	10879	240070	371140	200320	9027.3	202810	291000
ENSG00000013583	HEBP1	2708.9	NA	3148.9	4149	17834	688.34	23168	30215	21880	693.89	27403	33946
ENSG00000014123	UFL1	24008	1056.9	27470	30485	83026	4380.2	92242	139590	16600	231.73	20111	27519
ENSG00000014216	CAPN1	340510	17400	388420	500570	270920	13033	316590	414280	215540	11668	247920	335620
ENSG00000014641	MDH1	2286700	110840	2653800	3126200	994410	48239	1142500	1385300	742260	36303	845040	1054200
ENSG00000014824	SLC30A9	50610	4135.8	67041	63802	42832	2156.5	56916	52519	23178	876.36	32248	30122
ENSG00000014919	COX15	163950	7992	186440	251870	67817	3290.3	79376	104240	32646	1947.9	36762	52407
ENSG00000015475	BID	14795	660.82	15633	21751	11593	472.01	11351	17507	13122	573.59	12334	18132
ENSG00000016391	CHDH	178010	8231.8	244290	273100	92721	5574.8	129710	146520	46637	2235.7	63041	79341
ENSG00000017797	RALBP1	137530	6598.5	153350	208080	13724	303.11	16678	21003	NA	NA	NA	NA
ENSG00000018189	RUFY3	1059400	52420	1170800	1445100	402850	17681	442280	566400	337610	15022	362160	461500
ENSG00000018236	CNTN1	2024400	116910	2888200	3011100	1147300	61916	1495800	1588800	717850	39462	944720	1028000
ENSG00000018625	ATP1A2	2421500	139060	2571100	4157800	1435700	84306	1681200	2720300	827580	52518	969960	1600900
ENSG00000019144	PHLDB1	113930	5711.8	130460	189580	NA	NA	NA	NA	18335	282.36	16148	28916
ENSG00000020129	NCDN	719400	39578	782880	1052800	510230	29562	505370	658310	195090	11201	191690	246080
ENSG00000021300	PLEKHB1	54515	2629.5	42065	76268	41719	2334.6	34030	49831	NA	NA	NA	NA
ENSG00000021355	SERPINB1	73906	2652.3	94026	132190	28699	1385.9	40133	53948	13646	725.21	24149	37515
ENSG00000021574	SPAST	NA	NA	NA	NA	27096	1569.8	35644	32744	18063	910.22	22953	21699
ENSG00000022355	GABRA1	261890	11912	272120	276290	112160	5515.2	125660	117260	71887	3433.5	78838	75436
ENSG00000023287	RB1CC1	52804	2012.7	57862	68984	11057	523.33	12009	14077	NA	NA	NA	NA
ENSG00000023318	ERP44	127900	6105	125140	168260	172260	8845	183050	238880	123080	6279.3	126960	166700
ENSG00000023697	DERA	44049	2580.5	62963	81151	23854	937.91	34885	46076	36049	2048.1	51929	59468
ENSG00000023734	STRAP	68061	3279	67622	121960	NA	NA	NA	NA	10673	428.24	13504	17849
ENSG00000024422	EHD2	300570	15600	320820	390660	121810	6690.4	126410	155830	50674	2419.9	58808	71778
ENSG00000025772	TOMM34	31849	1189.6	31089	41207	72946	4236.5	82297	95311	NA	NA	NA	NA
ENSG00000026025	VIM	898330	32317	1203200	2232600	633220	22017	840790	1621500	519230	15433	660530	1387900
ENSG00000026508	CD44	99144	5001.5	137170	229730	41142	453.88	60350	133220	20554	309.27	26800	57987
ENSG00000028528	SNX1	686810	37319	772630	964000	352420	16431	397720	522730	186400	8920.5	217030	294120
ENSG00000029534	ANK1	102650	5420.6	86890	107180	47679	2322	37532	44902	38450	1710.2	32624	38917
ENSG00000029725	RABEP1	224440	11560	342190	381500	135100	7094.1	198830	182320	87622	4609.8	126670	117630
ENSG00000031698	SARS1	387040	18847	384640	626910	201170	10092	210320	322020	238630	12125	230380	411050
ENSG00000032444	PNPLA6	36192	1391.5	42737	47298	50403	3124	59890	71947	44370	1522	48437	60222
ENSG00000033178	UBA6	157620	6752.9	177760	247510	117810	5094.5	142340	182680	85562	4284.2	98434	139040
ENSG00000033627	ATP6V0A1	1900900	92191	2185400	2384800	962280	49107	1136300	1153400	583460	32243	686650	734450
ENSG00000034713	GABARAPL2	265890	15077	266170	442430	114470	5800.3	117170	190650	69983	3635.5	65089	128540
ENSG00000035403	VCL	247140	12958	305600	435790	178710	10393	227730	293870	203900	10197	258880	334760
ENSG00000035687	ADSS2	242520	13104	236150	375370	173990	8823.8	154300	256010	91164	4443.7	79752	124460
ENSG00000036257	CUL3	280330	14397	295160	533630	73200	3170.6	77724	168050	9731.6	208.96	11893	60305
ENSG00000036530	CYP46A1	2387.6	88.718	2498.1	3908.6	536.68	NA	803.11	874.64	45078	2541.3	58759	67193
ENSG00000038274	MAT2B	456570	23782	560420	614780	242980	12254	296560	311240	205320	11064	257670	270060
ENSG00000038382	TRIO	106940	6112.4	114430	145830	80471	4046.1	87267	120640	29480	1200.8	28843	43806
ENSG00000038427	VCAN	2305100	115270	3041800	4348900	1442700	71019	1952800	2992000	967750	48172	1310300	2031900
ENSG00000039319	ZFYVE16	13371	294.21	13336	20279	7208.5	329.24	8026.6	10703	5993.9	166.2	6276.5	8489.7
ENSG00000040341	STAU2	47893	2524.1	62186	68540	37337	1566.2	46839	52958	8576.1	477.49	7756.2	11466
ENSG00000040731	CDH10	30540	1642.1	34722	32601	22061	1602.8	28890	22531	13500	603.29	15487	13794
ENSG00000040933	INPP4A	106910	5524.6	111600	149570	61994	2976.8	63033	85030	69143	3088.7	74530	90026
ENSG00000041353	RAB27B	43055	2211.5	50117	96813	NA	NA	NA	5695.2	22740	1221	26586	41757
ENSG00000041357	PSMA4	103100	4122.7	116980	203860	62505	2790.6	72617	127170	46464	2604.7	54346	96974
ENSG00000041982	TNC	297020	14287	272230	568350	177400	7645.2	141700	330000	123730	4986	110930	243220
ENSG00000042493	CAPG	80179	4566.1	86553	129490	NA	NA	NA	NA	14910	748.89	16676	24990
ENSG00000042753	AP2S1	230390	11539	248420	293140	126930	7312.7	149930	181550	51555	2161.4	55083	63786
ENSG00000044574	HSPA5	532210	23653	590490	841960	334670	15004	353630	484770	223480	11399	233750	321290
ENSG00000047056	WDR37	101810	4630.7	117380	155300	43847	2724.4	50382	70743	32122	1625.5	39241	56543
ENSG00000047249	ATP6V1H	149740	7549.6	186300	359920	132210	5880.4	172500	277670	72397	3954.7	86705	178300
ENSG00000047410	TPR	237550	11848	209820	304700	193420	10057	192650	251550	129030	6792.2	120440	156680
ENSG00000047457	CP	93193	4717.5	90483	104940	NA	299.8	10090	12065	38339	1790.6	39664	48739
ENSG00000047849	MAP4	402600	19685	428300	725070	224180	12004	207230	403300	160760	9070.5	157790	289880
ENSG00000048392	RRM2B	136140	7239	178750	217700	82205	3910.2	105820	128390	46171	2710.2	63320	77157
ENSG00000048707	VPS13D	9919.8	509.51	12181	14009	NA	NA	NA	NA	8324.1	433.63	9895.3	12058
ENSG00000049860	HEXB	NA	NA	NA	NA	27077	1052.7	32142	44364	22113	937.9	25545	32575
ENSG00000050165	DKK3	105100	5397.1	107750	171510	43521	1953	46902	68427	38208	1610.8	41322	63220
ENSG00000050405	LIMA1	NA	NA	NA	NA	9290.4	343.03	8216.7	12504	7011.5	198.52	6462	10843
ENSG00000051620	HEBP2	29406	1244.4	35892	50491	15325	639.13	17129	25535	7862.3	294.03	8315	12548
ENSG00000053371	AKR7A2	113440	6391.5	151780	144190	61334	2990.7	84247	98898	41624	2110	58867	63837
ENSG00000054116	TRAPPC3	123250	6689.4	147010	188230	16289	1446.5	36403	47707	7272.7	535.66	18624	26024
ENSG00000054356	PTPRN	42530	1571	53456	49030	6044.2	187.18	7172.2	7196.1	NA	NA	NA	NA
ENSG00000054793	ATP9A	111110	5724.5	135760	129020	35485	1729.7	40100	35999	NA	120.64	4067	5916.1
ENSG00000054983	GALC	26097	1129.7	22063	34057	9523.2	380.47	7867.5	11835	12039	439.5	9270.3	14531
ENSG00000055163	CYFIP2	716270	36466	758870	1049500	440770	21018	474600	650750	267280	13414	302940	372050
ENSG00000055332	EIF2AK2	96803	4377.8	100750	161850	36941	1825.9	37004	60230	23859	1103.1	27798	44055
ENSG00000057608	GDI2	944780	47636	1084300	1481400	450670	24425	515970	695080	249290	11555	287680	383640
ENSG00000057663	ATG5	38280	2059.7	49118	51795	25653	1241.3	35026	34600	NA	NA	NA	NA
ENSG00000057757	PITHD1	511860	26469	549850	685370	192280	10014	199330	250330	96591	4741.5	109820	115800
ENSG00000058272	PPP1R12A	2216.7	70.017	4712.2	2734.2	46711	3035.6	72344	66217	26252	1170.3	38263	37826
ENSG00000058404	CAMK2B	893350	44767	1041200	1347200	363160	17960	444560	571450	190380	9122	230740	293180
ENSG00000058668	ATP2B4	64129	3864.2	70770	110000	128020	6963.3	148360	203910	15810	838.21	18301	25450
ENSG00000059573	ALDH18A1	143390	6446.6	150600	186010	12202	527.08	14163	16354	42007	1739.8	43634	55914
ENSG00000059915	PSD	93183	5376.9	109850	112360	22296	1139	23341	25790	13643	928.47	15887	15206
ENSG00000060971	ACAA1	NA	NA	NA	NA	19482	451.82	21650	27037	20189	879.42	22686	26783
ENSG00000060982	BCAT1	94965	3864.3	111990	140120	49203	2742.6	57935	69586	25725	1408.8	31051	37668
ENSG00000061676	NCKAP1	169420	8243	178760	225770	174790	9857.3	219740	266890	166410	8930.2	194260	245470
ENSG00000061918	GUCY1B1	153560	7608.7	218890	299010	99064	5270.9	146810	186170	44570	1830	70274	83944
ENSG00000061987	MON2	99412	6331.9	153660	180760	21383	1520.6	36948	39922	30899	1674.8	47503	53595
ENSG00000062485	CS	1240000	63116	1349400	1850100	765980	39245	842520	1175200	424330	20992	468730	650910
ENSG00000062598	ELMO2	26133	1344.6	27628	35092	12676	604.45	13228	16194	7824.2	242.04	7773.4	10524
ENSG00000063177	RPL18	112860	5962.7	130120	152950	43159	2131.1	50794	58862	36794	1442.2	43930	46062
ENSG00000063245	EPN1	460840	24449	480760	639730	194260	9806.8	197670	262790	115760	6770.7	117650	160470
ENSG00000064042	LIMCH1	251630	11169	276530	339210	130510	7385.6	140450	184120	113310	4858.2	111500	161030
ENSG00000064607	SUGP2	135130	5331.5	136140	186380	71413	3652.1	77512	105930	39280	1530.3	41957	59486
ENSG00000064651	SLC12A2	205430	9610	208320	301860	173010	7881	179440	279680	118830	5644.1	117840	191170
ENSG00000065000	AP3D1	107000	10680	257510	220320	58460	4150.3	92277	82677	41878	3905.6	94843	102320
ENSG00000065135	GNAI3	47289	2437.2	54223	81821	16955	972.31	20972	29099	NA	NA	NA	NA
ENSG00000065154	OAT	237960	12186	284160	301700	190250	10295	225760	239550	185330	9180.2	219640	228400
ENSG00000065427	KARS1	150200	6825	162230	212910	230910	12482	250210	349790	134100	8065.2	151870	203840
ENSG00000065518	NDUFB4	352700	16299	409240	334630	194530	10820	234710	187320	170460	8035	195750	155040
ENSG00000065534	MYLK	96290	5372	147310	143440	53793	2935	65417	71608	61142	2628	70506	79658
ENSG00000065559	MAP2K4	NA	NA	NA	NA	13957	1087.4	15712	20129	10993	447.36	13362	13944
ENSG00000065609	SNAP91	675860	34929	950260	919780	311000	15578	423770	416410	143230	6985	200810	192050
ENSG00000065613	SLK	165490	9520.7	237600	302140	116330	5786.2	140950	171560	95893	5294.6	111050	135330
ENSG00000065833	ME1	383430	19508	405190	544940	339380	16373	339570	483450	20450	734.19	19439	25617
ENSG00000066027	PPP2R5A	NA	2222.7	47016	59691	42111	3085.4	74235	86562	30628	1994.3	52716	57534
ENSG00000066032	CTNNA2	704260	38137	769920	1113700	383390	19611	399020	563600	251430	12543	266830	398230
ENSG00000066044	ELAVL1	185200	9487.9	196020	265720	88260	3857.7	94841	138230	56406	2075.1	58301	85058
ENSG00000066084	DIP2B	63105	3635.5	178280	201010	10348	821.69	51777	56092	21294	1281.3	46560	51441
ENSG00000066248	NGEF	35980	2201.1	42108	38245	16617	669.07	18941	17282	12689	755.26	16155	14554
ENSG00000066427	ATXN3	19530	842.64	28923	27152	8341.2	391.95	11931	11280	6450.7	217.51	9748.3	8477.2
ENSG00000066557	LRRC40	471820	23717	491960	619710	136630	6726.1	155320	170740	76598	3554.3	84709	98710
ENSG00000066583	ISOC1	17742	715.51	27597	22759	69324	3324.1	84925	102350	27309	1349.3	34310	42178
ENSG00000066739	ATG2B	67177	3441.9	76677	86084	24709	1232.9	30614	26053	12567	492.84	16340	14516
ENSG00000066926	FECH	210030	10864	223030	235030	102700	4518.5	97221	110980	182370	12158	204450	293210
ENSG00000067057	PFKP	969380	48220	1007900	1366300	713120	36701	784460	1019300	496260	23197	532090	727400
ENSG00000067141	NEO1	119920	5732.5	125980	169510	82104	4573.2	88111	110850	74908	4116.1	85525	105800
ENSG00000067177	PHKA1	11115	793.36	13495	16896	7485.6	319.31	9099.5	11355	5367.2	134.26	5795.6	7926.1
ENSG00000067191	CACNB1	281560	14608	303410	357290	202710	10261	215090	252360	110740	4598.4	122750	146610
ENSG00000067225	PKM	3068000	161830	3835300	4853500	1800500	90162	2062300	2777800	1403500	74022	1699100	2164400
ENSG00000067369	TP53BP1	NA	NA	33129	44872	8817.5	569.09	26443	30452	5881.3	158.87	6812.1	8299.7
ENSG00000067560	RHOA	65739	3376.1	87272	84363	25469	1265.4	32717	32750	23995	1615.5	37425	31560
ENSG00000067704	IARS2	677900	36248	737040	888660	403220	21274	450580	521260	207970	11064	241020	280510
ENSG00000067715	SYT1	1878000	96961	2143100	2502800	1090000	55532	1296300	1420400	634270	33332	748690	836990
ENSG00000067829	IDH3G	86167	4178.8	89430	125640	25120	1406.4	27822	38755	NA	NA	NA	NA
ENSG00000067836	ROGDI	123400	6882.5	156370	194440	101480	5363.9	125740	137710	39186	1967.1	47785	53286
ENSG00000067900	ROCK1	77015	4083.6	78949	133980	14410	1027.6	16606	24383	9470.1	615.61	12787	15608
ENSG00000067992	PDK3	49954	2095.2	56322	56667	27484	1331	33896	32320	12147	602.04	14867	14640
ENSG00000068120	COASY	56161	2261.6	64205	93473	1825.6	51.323	2285.7	2846.6	10080	721.13	12069	17153
ENSG00000068383	INPP5A	127280	6779.4	145420	186190	106780	5352.3	127130	150000	56877	3170.1	66709	71243
ENSG00000068400	GRIPAP1	134830	7557.1	153000	223200	104110	4876.9	115450	131340	71476	3529.2	82873	96789
ENSG00000068615	REEP1	33347	2093.6	33788	45659	7525.1	1259.9	21084	22639	7724.3	455.56	8656	11362
ENSG00000068796	KIF2A	247480	11180	252830	386400	137120	6840.2	135210	238440	109510	4982.1	112480	186410
ENSG00000068912	ERLEC1	41143	2223	48763	52016	32153	2087.7	41615	38823	27150	1641.3	32433	33861
ENSG00000068976	PYGM	643160	33898	643260	1007800	288760	14730	299920	487430	166820	7637.6	157760	254940
ENSG00000069329	VPS35	302430	14175	229090	554920	214460	9733.4	183040	345790	48992	2495.6	51374	82299
ENSG00000069424	KCNAB2	281770	13346	283850	469130	190580	9778.4	187870	310990	102480	4470.9	104210	165490
ENSG00000069535	MAOB	1008100	51756	1538400	2360400	408510	20209	638410	1003100	454960	23250	651880	1040900
ENSG00000069849	ATP1B3	286760	14495	363060	475510	163320	7669.4	203700	272390	131000	6646.8	162810	217580
ENSG00000069966	GNB5	24417	1202.7	22192	30697	1717.9	93.672	2332.7	2105.2	1217.9	NA	1571.6	1576
ENSG00000070010	UFD1	225680	13147	266940	329220	102250	4987.2	113540	148390	87884	5381.2	102860	135260
ENSG00000070061	ELP1	43083	2460.8	42571	55560	16595	892.36	16812	22477	NA	NA	NA	NA
ENSG00000070081	NUCB2	15570	532.54	14884	25420	11704	579.38	14160	19256	2594.4	NA	3391.9	5461
ENSG00000070087	PFN2	187100	9300.4	241820	280990	175120	7953.2	197260	229620	150040	7931.3	174410	204840
ENSG00000070182	SPTB	192160	9172.8	156480	203070	196690	8616.8	156950	233680	96976	3672.2	65002	88443
ENSG00000070214	SLC44A1	179200	9347.1	214290	490330	23522	950.76	30300	126390	4853.7	251.87	5772.2	52234
ENSG00000070367	EXOC5	45524	2959.2	76526	72906	14146	832.42	20354	20832	2951.1	130.02	3172.7	4217.7
ENSG00000070610	GBA2	89062	4119.3	107240	105860	37121	1853.5	48087	46471	27543	991.52	36503	35480
ENSG00000070669	ASNS	12022	680.39	16852	17736	12734	470.24	17383	18625	NA	NA	NA	NA
ENSG00000070718	AP3M2	187310	10313	350590	399000	192780	10417	250490	295430	101450	5567.5	145940	165540
ENSG00000070756	PABPC1	697880	35592	745250	1026800	398370	19031	433910	592510	279560	13570	308960	412690
ENSG00000070808	CAMK2A	1919000	96623	2332000	2241700	1136500	56875	1340800	1308600	734360	35699	860270	840330
ENSG00000070831	CDC42	141930	6485.8	142580	172490	33005	1269.2	36991	41639	35630	1222.4	36786	46019
ENSG00000070882	OSBPL3	13985	727.62	12012	14119	NA	NA	NA	NA	5480.6	150.2	4055.1	5530.4
ENSG00000070961	ATP2B1	841700	42693	1051600	1003700	403850	22229	521750	474000	451290	22585	487670	579450
ENSG00000071051	NCK2	228940	13773	247970	361020	43078	2041.4	39915	52046	41837	1936.6	38866	50277
ENSG00000071242	RPS6KA2	253740	15594	314150	388980	78843	3616.5	87588	115500	36386	1983.3	44555	59633
ENSG00000071553	ATP6AP1	216800	10256	247730	260920	75058	2811.5	84026	91446	54371	2993.5	60373	68738
ENSG00000072042	RDH11	163510	7932.5	206320	228250	109230	6070	155950	143270	56984	3309.4	82765	72599
ENSG00000072110	ACTN1	2389200	117100	2489100	2838600	1278900	60011	1326500	1484900	650250	32131	714960	792780
ENSG00000072133	RPS6KA6	141760	7419.1	132760	248710	197760	8712.2	181280	329510	75345	3971.2	68687	139940
ENSG00000072134	EPN2	124630	6383.4	151490	237870	51557	2698.9	68751	108690	41751	1392.1	56642	90494
ENSG00000072210	ALDH3A2	199060	10713	241690	304590	64065	4034.4	77816	104570	29832	1146.1	38516	51205
ENSG00000072501	SMC1A	22180	813.98	25009	35458	14949	561.69	16639	25487	23398	983.29	25536	32329
ENSG00000072506	HSD17B10	479650	27163	542560	565460	232570	12508	272280	280490	107700	5483	125440	125730
ENSG00000072657	TRHDE	NA	NA	NA	NA	11503	425.72	11433	12239	6773.6	369.08	7034.4	9339.6
ENSG00000072778	ACADVL	147730	7054.9	163730	214370	125930	7020.3	146040	166760	26880	1770.6	31340	36112
ENSG00000072832	CRMP1	1050500	60101	1289700	1446600	442500	20687	557170	615340	287170	14910	370660	403620
ENSG00000072952	IRAG1	12036	1146.8	11540	20408	2868	143.19	3591.3	4828.3	2248.5	170.22	3193.7	3031.7
ENSG00000072958	AP1M1	40911	1324.3	44058	53113	13765	332.11	16546	22438	8580.4	512.48	9799.7	11211
ENSG00000073008	PVR	139870	7261.5	167700	179530	31976	1095.1	37094	45846	33032	1724.2	40165	43325
ENSG00000073578	SDHA	523530	26137	547130	734500	312310	17512	344460	443650	196850	10716	224020	286420
ENSG00000073670	ADAM11	52889	1657.5	51380	66008	NA	NA	NA	NA	7809.5	473.4	8962.7	9941.8
ENSG00000073921	PICALM	106600	5239.8	125860	158000	15878	807.66	21467	24973	34518	1915.1	39693	50547
ENSG00000074054	CLASP1	258060	11577	265770	373750	197930	9278	201020	324680	133380	7484.6	145590	223950
ENSG00000074317	SNCB	297030	12790	233350	346920	122880	5298.3	108180	158680	140930	6157	105760	177560
ENSG00000074319	TSG101	37084	2399	51201	58651	35546	2329.1	44816	56433	34680	1350.1	41565	50656
ENSG00000074416	MGLL	128670	6198.6	286830	314280	87429	5050.2	147650	170160	27935	1453.4	65922	71219
ENSG00000074582	BCS1L	227520	12378	264550	374720	75961	3434.3	88247	117080	50130	2954	57949	91839
ENSG00000074590	NUAK1	64063	3274.2	68180	91037	33875	1663.4	39577	51161	24392	1189.9	24945	35214
ENSG00000074706	IPCEF1	NA	NA	NA	NA	30688	1502	32517	36908	17471	934.72	17868	17562
ENSG00000074800	ENO1	1669800	101350	2541100	5396300	1047700	58918	1467500	3157600	735580	38020	922710	2101000
ENSG00000074842	MYDGF	190780	8641.3	207900	240830	65033	3039.1	72345	85804	22925	706.51	25097	26406
ENSG00000075142	SRI	404850	20899	435170	767230	174280	9022.3	187860	303540	128990	6416.5	134460	237360
ENSG00000075239	ACAT1	507360	26881	510030	1003000	269460	13367	275940	602940	227850	12337	231190	488890
ENSG00000075340	ADD2	562690	24500	478060	751710	603900	29754	554050	629940	330090	15258	290000	336890
ENSG00000075391	RASAL2	45190	2636.2	51273	58128	NA	NA	NA	NA	11143	603.27	11962	14402
ENSG00000075413	MARK3	60557	3297	71355	82918	29823	1617	40135	41296	17769	897.9	22132	24659
ENSG00000075415	SLC25A3	429370	22753	630510	446320	13008	406.35	14093	14090	81431	3026.2	92119	97614
ENSG00000075618	FSCN1	1874100	103810	1993600	2984200	904100	41876	981260	1416000	702350	36584	786270	1090700
ENSG00000075651	PLD1	21155	1173.1	21472	29040	33543	1474	35014	50941	3923.2	NA	4548.1	5559.5
ENSG00000075711	DLG1	253790	14134	284810	376560	54682	2971.1	68119	112530	35311	1444.2	41691	60710
ENSG00000075785	RAB7A	1237900	68101	1519400	2033400	612430	31991	755270	994670	438990	24166	544230	716430
ENSG00000075945	KIFAP3	363770	18078	380160	429370	160440	7657.7	169510	177240	125690	6491.8	134350	138210
ENSG00000076043	REXO2	247610	12522	289650	444070	80433	4231.1	93247	145670	81008	4426.9	100590	155220
ENSG00000076201	PTPN23	403990	20067	414130	598570	260150	12127	272290	393200	94056	3891.6	99264	140470
ENSG00000076356	PLXNA2	77958	4763.5	98450	107400	42554	2675.4	53726	58611	25282	1471.2	33589	35860
ENSG00000076513	ANKRD13A	30789	1258.6	28410	41638	23277	645.15	21270	31283	11115	495.91	10389	15745
ENSG00000076554	TPD52	389460	20098	303350	563790	228790	11688	204960	377790	129550	5610.7	113290	210210
ENSG00000076685	NT5C2	111690	5832.2	130480	192770	NA	NA	NA	NA	38567	1911.3	45566	63332
ENSG00000076706	MCAM	NA	NA	NA	26489	21393	1073.6	14899	53995	13063	478.19	9952	21178
ENSG00000076826	CAMSAP3	164090	8357.4	181670	197710	153400	7010.4	170750	183140	152960	7711.3	164420	186260
ENSG00000076864	RAP1GAP	68555	5705.2	116000	173710	39517	3264.5	44942	71244	29166	3443.5	71903	108020
ENSG00000077063	CTTNBP2	44458	2602.9	55177	53651	15641	695.9	19020	18537	8178.8	322.96	9163	9580.2
ENSG00000077097	TOP2B	85439	4569.6	84442	111700	30961	1576.8	31651	44185	16010	691.86	15732	23431
ENSG00000077522	ACTN2	644340	31704	725560	564170	417420	20749	452650	357660	243850	11486	278390	211310
ENSG00000077549	CAPZB	847240	42049	1072800	1273900	570840	32147	774280	874180	418090	21822	531430	626580
ENSG00000078018	MAP2	2802900	141770	3469900	3767300	1728700	84939	2046400	2251600	1294600	65766	1524900	1693200
ENSG00000078053	AMPH	377760	28640	875990	682550	140870	10091	348620	233350	176070	11300	267150	295060
